Date,ARI,ATL,BAL,BOS,CHI,CIN,CLE,COL,CWS,DET,HOU,KC,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SD,SEA,SF,STL,TB,TEX,TOR,WAS
6/11/15,,SD,BOS,,CIN,,SEA,,,CLE,,,,,COL,WAS,,SF,,TEX,,,,,,,LAA,,,
6/12/15,,,NYY,TOR,CIN,,,,,CLE,SEA,,OAK,,COL,WAS,,ATL,,,,PHI,LAD,,ARI,KC,CWS,MIN,,
6/13/15,,,NYY,TOR,CIN,,,,,CLE,SEA,,OAK,,COL,WAS,,ATL,,,,PHI,LAD,,ARI,KC,CWS,MIN,,
6/14/15,,,NYY,TOR,CIN,,,,,CIN,SEA,,OAK,,COL,WAS,,ATL,,,,PHI,LAD,,ARI,KC,CWS,MIN,,
6/15/15,,,PHI,ATL,CLE,,,,,CIN,COL,,ARI,,NYY,KC,,TOR,,,,CWS,OAK,,SEA,MIN,WAS,LAD,,
6/16/15,,,PHI,ATL,CLE,,,,,,COL,MIL,ARI,,NYY,KC,,TOR,,,,CWS,OAK,,SEA,MIN,WAS,LAD,,
6/17/15,LAA,BOS,,,,DET,CHI,HOU,PIT,,,MIL,,TEX,,,STL,,MIA,SD,BAL,,,SF,,,,,NYM,TB
6/18/15,LAA,BOS,,,,DET,CHI,HOU,PIT,,,BOS,,TEX,,,STL,,MIA,SD,BAL,,,SF,,,,,NYM,TB
6/19/15,SD,NYM,,,,MIA,TB,MIL,TEX,,,BOS,,SF,,,CHI,,DET,LAA,STL,,,HOU,,,,,BAL,PIT
6/20/15,SD,NYM,,,,MIA,TB,MIL,TEX,,,BOS,,SF,,,CHI,,DET,LAA,STL,,,HOU,,,,,BAL,PIT
6/21/15,SD,NYM,,,,MIA,TB,MIL,TEX,,,,,SF,,,CHI,,DET,LAA,STL,,,HOU,,,,,BAL,PIT
6/22/15,,,,,LAD,,DET,,,,,,HOU,,,,CWS,,PHI,,,,,KC,,,TOR,,,
6/23/15,,,,BAL,LAD,,DET,ARI,,,,,HOU,,STL,NYM,CWS,,PHI,,,CIN,,KC,SD,,TOR,OAK,,ATL
6/24/15,,,,BAL,LAD,,DET,ARI,,,,,HOU,,STL,NYM,CWS,,PHI,,,CIN,,KC,SD,,TOR,OAK,,ATL
6/25/15,,,,BAL,LAD,,,ARI,,CWS,NYY,,,,STL,NYM,,,,,,CIN,,,SD,,,OAK,,ATL
6/26/15,,,CLE,,,,,,,CWS,NYY,,SEA,,LAD,MIN,,CIN,,KC,WAS,ATL,ARI,,COL,CHI,BOS,,TEX,
6/27/15,,,CLE,,,,,,,CWS,NYY,,SEA,,LAD,MIN,,CIN,,KC,WAS,ATL,ARI,,COL,CHI,BOS,,TEX,
6/28/15,,,CLE,,,,,,,CWS,NYY,,SEA,,LAD,MIN,,CIN,,KC,WAS,ATL,ARI,,COL,CHI,BOS,,TEX,
6/29/15,LAD,,TEX,,,MIN,,,,,KC,,NYY,,,,,,,COL,MIL,,,,,,CLE,,BOS,
6/30/15,LAD,WAS,TEX,,,MIN,,,,PIT,KC,,NYY,,SF,,,CHI,,COL,MIL,,SEA,,,CWS,CLE,,BOS,
7/1/15,LAD,WAS,TEX,,,MIN,,,,PIT,KC,,NYY,,SF,,,CHI,,COL,MIL,,SEA,,,CWS,CLE,,BOS,
7/2/15,COL,WAS,TEX,,,,,,,PIT,,MIN,,,SF,,,CHI,,SEA,MIL,,,,,SD,CLE,,BOS,
7/3/15,COL,PHI,,HOU,MIA,MIL,,,BAL,TOR,,MIN,,NYM,,,,,TB,SEA,,CLE,,,,SD,,LAA,,SF
7/4/15,COL,PHI,,HOU,MIA,MIL,,,BAL,TOR,,MIN,,NYM,,,,,TB,SEA,,CLE,,,,SD,,LAA,,SF
